"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Alg5","ENSMUSG00000036632",1613.90835382455,-0.186603990541177,0.0811200743782418,0.0196089337900064,0.0408861114064157
"Cep164","ENSMUSG00000043987",1432.34413139516,0.228423174568412,0.099626134843407,0.0196155906659539,0.0408967153038647
"Gm14794","ENSMUSG00000081673",33.514488259312,-0.675973216102623,0.336727800123988,0.0196337876420578,0.0409313756305552
"Gm17893","ENSMUSG00000107491",4.4934789699845,-1.2077872413779,0.946381345112037,0.0196545250665953,0.0409713261599666
"Kcnc1","ENSMUSG00000058975",26.1122496127327,0.747372828240116,0.388822589635802,0.0196675467584088,0.0409951875572887
"Npff","ENSMUSG00000023052",17.5304819752528,0.754653162241535,0.394495075056673,0.0196695345595461,0.0409960478472026
"Adam32","ENSMUSG00000037437",104.112576028574,0.548165785937944,0.257258041648416,0.0196741491259582,0.041002382372523
"Gm15190","ENSMUSG00000082693",41.454705345478,-0.568030234707872,0.268724120394591,0.0196802203055151,0.0410117513300197
"Stk38","ENSMUSG00000024006",2323.29534422253,0.2192189909638,0.0955939205816235,0.0196916319507421,0.0410322469309034
"Gm10489","ENSMUSG00000097444",5.80335468191002,1.18076329046828,0.894190285922557,0.019698211766306,0.041042671778211
"Zfp385b","ENSMUSG00000027016",41.8164350246907,-0.654432520486389,0.322473776113362,0.0197037407826297,0.0410492689844925
"Gm47257","ENSMUSG00000112347",5.35085884288268,1.18125078778485,0.895245865712984,0.0197045322995332,0.0410492689844925
"Gm10364","ENSMUSG00000072492",2.82091059506025,-1.28149315993845,1.29192936252345,0.0197276053862729,0.0410940466581762
"Gm16099","ENSMUSG00000087114",9.67950081432117,0.982511527850392,0.613178775297794,0.0197295232938348,0.0410947529042839
"2610528A11Rik","ENSMUSG00000096001",11.3826385809626,-0.865421468177928,0.490617768625758,0.0197470514458445,0.041127971115663
"Atm","ENSMUSG00000034218",1402.4486865399,0.390361854089559,0.17486066567423,0.0197713193614739,0.0411752200624453
"4933413C19Rik","ENSMUSG00000089952",14.2258512107536,-0.824160753136494,0.452977388448225,0.0197767512026531,0.041183237083179
"Gm7043","ENSMUSG00000115039",34.0219762290754,-0.678105308519916,0.338754217399938,0.0197816984356073,0.041190243750559
"Rps12-ps5","ENSMUSG00000081565",13.5828866140469,-0.842857282356567,0.470015721805758,0.019810326391229,0.0412465543005286
"Gm45150","ENSMUSG00000108638",16.964409533674,-0.750211517814233,0.39174290796453,0.0198174955205111,0.0412581805637388
"Arl14","ENSMUSG00000098207",25.1526848424947,-0.961931715580646,0.590879409930858,0.019835312062386,0.0412919701159548
"Cngb3","ENSMUSG00000056494",3.94093298080201,1.23475911920015,1.01635514718358,0.0198446498269028,0.0413081050619503
"Efr3a","ENSMUSG00000015002",3245.30007637226,0.288943558198375,0.127205529680157,0.0198811758026872,0.0413808271725183
"C530044C16Rik","ENSMUSG00000107667",4.44049356725811,1.2339163439951,1.01564935052448,0.0198842981417432,0.0413810351957257
"Colec10","ENSMUSG00000038591",1.45507006616693,-1.27597951245841,1.31918628002418,0.019884455478444,0.0413810351957257
"Scarb1","ENSMUSG00000037936",1385.50363172682,0.333858701141047,0.148051310805906,0.0199026650947577,0.0414156193705112
"AC154457.3","ENSMUSG00000117300",90.3534506264824,-0.777951732346794,0.414378783146654,0.019911530908073,0.0414307559737248
"Bend3","ENSMUSG00000038214",586.544759088852,0.338668441648274,0.150330463642552,0.0199165202419681,0.0414378248487567
"Cdsn","ENSMUSG00000039518",12.9148781237132,0.969633368520823,0.600450296804802,0.0199271833021194,0.0414566962662907
"Rp9","ENSMUSG00000032239",1395.1654617614,-0.224938270904866,0.0983386112827559,0.0199338895226879,0.0414673334795813
"Gm9836","ENSMUSG00000081071",168.901366491405,0.328211762710357,0.145451407396557,0.0199397216555361,0.0414761508231673
"Crybg3","ENSMUSG00000022723",1279.7962200101,0.403715067050656,0.181687099321646,0.0199512305830975,0.0414936622118074
"Gm8228","ENSMUSG00000099779",138.503516321506,-0.476014683524406,0.218456163511806,0.0199513286683867,0.0414936622118074
"Aspm","ENSMUSG00000033952",73.7212910713847,0.785735441160388,0.421090499052667,0.0199656343963777,0.0415200968415563
"AC137853.1","ENSMUSG00000118159",3.84998463244934,1.2400280809287,1.03622178185899,0.0199702454313087,0.0415263679864267
"Slmap","ENSMUSG00000021870",3250.14916587173,0.28056312844555,0.123512841532183,0.0200132589776801,0.0416124863932783
"Gm14280","ENSMUSG00000086831",1.73288349787512,1.27643470626972,1.28156798472945,0.0200177965648157,0.041618596452514
"Fxr2","ENSMUSG00000018765",6567.13725886112,-0.29726696382891,0.13118350197306,0.0200216686032165,0.0416233219172938
"Atp1a2","ENSMUSG00000007097",98.6111703181778,0.471517201923212,0.216245896588301,0.0200265109374098,0.0416269521691902
"Actn2","ENSMUSG00000052374",46.9895836305454,-0.679625420461222,0.340737408601357,0.0200266134571461,0.0416269521691902
"Cdca2","ENSMUSG00000048922",77.2031161868539,0.772350752429628,0.410525294482227,0.0200498615262035,0.0416719472813244
"D10Wsu102e","ENSMUSG00000020255",1185.14217424895,-0.247868085407647,0.108736014746622,0.020068324479776,0.0417069905429264
"B230112G18Rik","ENSMUSG00000103925",7.55894053680724,1.19811715458662,0.937941812528918,0.020074026158714,0.0417155092103
"Ppp1r14a","ENSMUSG00000037166",33.7983447534356,0.612563784708732,0.29677660361008,0.0200808485720007,0.0417263553115147
"Lypd6b","ENSMUSG00000026765",9.50541197744625,-0.944209687346869,0.5738052527885,0.0201034166341751,0.0417699152354361
"Rpl31-ps17","ENSMUSG00000072255",14.4418841322007,-0.923933566611553,0.55219281588314,0.0201247473319566,0.0418108974741513
"Ctdspl2","ENSMUSG00000033411",1192.55659278372,-0.219693538239679,0.0961560048653892,0.0201272953028463,0.0418128535511601
"Gm38399","ENSMUSG00000090399",85.2856389900323,0.629178372261254,0.307461383229635,0.0201325486399388,0.0418200284867673
"Gm8250","ENSMUSG00000080783",8.50122208736153,-1.0546664264828,0.707190571830726,0.0201339625390995,0.0418200284867673
"Dnm1","ENSMUSG00000026825",442.891937255327,0.460248848893362,0.210610469514959,0.0201499483704864,0.0418498927694718
"Gm11468","ENSMUSG00000084840",2.66067818642431,1.27144659073559,1.18877758671749,0.0201545649083381,0.0418561410224387
"Nlrp1a","ENSMUSG00000069830",12.4775130147744,-0.935955455780539,0.565422061198763,0.0201687439693175,0.0418822457342745
"AC115302.1","ENSMUSG00000117425",9.83909954538043,-0.872555312864616,0.500657982218058,0.0201967307524843,0.0419370169944685
"Rabl3","ENSMUSG00000022827",511.940585150307,0.31356735982711,0.138938700491968,0.020203610405669,0.0419479556189177
"Gm11892","ENSMUSG00000083154",12.3230201607083,-0.968738758503117,0.602411345102908,0.0202285262733624,0.0419963373887754
"Chek2","ENSMUSG00000029521",90.4238967761958,-0.59664865289262,0.287390422773128,0.0202345270126662,0.0420054449741326
"Lrrc9","ENSMUSG00000021090",16.0396305435747,0.9095575495772,0.538116738591461,0.0202412414068524,0.0420160324856491
"Eprn","ENSMUSG00000113346",5.87285579401165,1.14623021591819,0.845219069348776,0.0202490806515024,0.0420289530460371
"Gm8162","ENSMUSG00000111548",17.5114140003177,-0.762999559510898,0.40398083873988,0.0202508710888658,0.0420293176541743
