"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Ccdc114","ENSMUSG00000040189",217.589858925076,0.97852360794121,0.16051771901584,1.38313472627387e-10,9.65369308682037e-10
"Pcbp1","ENSMUSG00000051695",16998.2521368734,-0.578616342397655,0.0916407243826659,1.39094456535471e-10,9.70559411790093e-10
"Otud7a","ENSMUSG00000033510",809.44324196341,-1.52809051736973,0.255455455695974,1.3926815883792e-10,9.71510435987008e-10
"Slc25a38","ENSMUSG00000032519",878.573115651451,-0.786300551455622,0.126676402403993,1.39807250890737e-10,9.75009160280164e-10
"Capn1","ENSMUSG00000024942",4466.95958116629,-0.534081395003024,0.0843692988306271,1.40006201031053e-10,9.76134509255698e-10
"Acbd6","ENSMUSG00000033701",3137.96284946072,-0.631356464220844,0.100461532643943,1.4480777220924e-10,1.00934048632479e-09
"Cdkl1","ENSMUSG00000020990",676.593270409199,1.16954906765283,0.194667254721942,1.45199720907883e-10,1.01180089930202e-09
"Atf5","ENSMUSG00000038539",22057.9600993054,-1.20759868269502,0.201342488967713,1.45524687013275e-10,1.0136559660961e-09
"Gm30074","ENSMUSG00000103726",31.9477747913626,2.27077575328358,0.385217149164635,1.45543995131969e-10,1.0136559660961e-09
"Lyl1","ENSMUSG00000034041",46.7496222594001,2.0738204447594,0.34942376049131,1.46094464813735e-10,1.01721698275536e-09
"Hp1bp3","ENSMUSG00000028759",9475.43983453597,0.348932764350247,0.0547285178868204,1.46235771402251e-10,1.01792796008787e-09
"Ccdc39","ENSMUSG00000027676",96.4933675805368,1.74829364041479,0.292785638663917,1.47685713714472e-10,1.02749046837269e-09
"Gm49205","ENSMUSG00000115384",20.524385667815,-3.43584777750682,0.603448802892413,1.47688649587434e-10,1.02749046837269e-09
"Polr1c","ENSMUSG00000067148",1949.52841197731,-0.421263871318153,0.0662659857165728,1.47860591299677e-10,1.02841119888696e-09
"Dusp22","ENSMUSG00000069255",1606.07348213321,-0.739904698060119,0.118875769584052,1.487547577283e-10,1.03435336357743e-09
"Alg2","ENSMUSG00000039740",4941.70657180684,0.665255247092831,0.106204914707881,1.48852075940232e-10,1.03475301505454e-09
"Prepl","ENSMUSG00000024127",7314.65106643667,0.88934360128217,0.144963520479082,1.49331726337179e-10,1.03775136882429e-09
"Sssca1","ENSMUSG00000118125",45.7723263726389,1.65669053127473,0.277439191326471,1.49363313567641e-10,1.03775136882429e-09
"Gm3696","ENSMUSG00000092167",63.714664421736,-1.85716982280738,0.311523728769628,1.49829816944843e-10,1.04071414171557e-09
"Mrpl36","ENSMUSG00000021607",1128.85661898033,0.552845776724605,0.087584744058141,1.50422516164921e-10,1.04448418377858e-09
"Utp4","ENSMUSG00000041438",2643.6610400058,-0.59589232737099,0.0946684321755744,1.50453018039955e-10,1.04448418377858e-09
"Eef1d","ENSMUSG00000055762",7740.84145524928,-0.534619544061846,0.0846289066262104,1.52155501116627e-10,1.05602098329768e-09
"Dcaf7","ENSMUSG00000049354",9463.86710939446,0.494002877226349,0.0780552038561395,1.54592407372152e-10,1.07264745173982e-09
"Gm4419","ENSMUSG00000097055",881.458617603458,1.21614181659619,0.203186935493769,1.5525105958907e-10,1.07692982601168e-09
"Panx2","ENSMUSG00000058441",272.778628743931,0.985155625490495,0.16221006054938,1.5594401750294e-10,1.08144781804242e-09
"Cog4","ENSMUSG00000031753",2922.29285829686,-0.555509574841345,0.0881215593390319,1.57567761043496e-10,1.0924165301817e-09
"Nbea","ENSMUSG00000027799",4924.42488681313,0.954234991196779,0.156733326684161,1.57916396716827e-10,1.09454143024625e-09
"9330104G04Rik","ENSMUSG00000097842",110.167144224575,1.07397749167791,0.178171304096533,1.58592723060717e-10,1.09893586195568e-09
"Skil","ENSMUSG00000027660",7499.74403532049,-0.568192943564399,0.0902216496459256,1.58725375151727e-10,1.09956167459736e-09
"Khdc4","ENSMUSG00000028060",4201.20804363784,0.690416940585719,0.110641022438866,1.59543532213731e-10,1.10493468669941e-09
"Lrrc4","ENSMUSG00000049939",158.370154298499,-1.36374421674691,0.228812157669789,1.6088266130294e-10,1.11391191594206e-09
"Washc3","ENSMUSG00000020056",1693.23468282614,-0.711960575652144,0.114349521601941,1.62084940344925e-10,1.1219370964014e-09
"Mcoln3","ENSMUSG00000036853",344.982490104867,-1.94784642006752,0.328038955692061,1.62180619385368e-10,1.12230025740937e-09
"Gm20056","ENSMUSG00000103847",42.7052206923288,-1.83944642726662,0.309158054235748,1.62235786209559e-10,1.12238295249026e-09
"Mrpl50","ENSMUSG00000044018",1358.65815414476,0.522377556334954,0.0827660649060149,1.62476397124469e-10,1.12374820498524e-09
"Arap1","ENSMUSG00000032812",5035.41848332707,-0.430152564199497,0.0678515485084207,1.63190858214641e-10,1.12838918495539e-09
"H2-Bl","ENSMUSG00000073406",109.230012898386,-2.85283032362347,0.495622151337502,1.64215334328582e-10,1.13517073405579e-09
